gender,race_ethnicity,parental_level_of_education,lunch,test_preparation_course,weekly_study_hours,absences,math_score,reading_score,writing_score
male,group C,bachelor's degree,standard,none,2.8,0,70,81,67
male,group C,high school,free/reduced,none,2.6,6,61,49,56
female,group C,some high school,standard,none,4.8,3,41,61,77
male,group C,bachelor's degree,free/reduced,completed,6.0,5,78,72,88
male,group C,high school,standard,none,11.0,0,72,94,79
male,group D,bachelor's degree,free/reduced,none,3.3,2,69,53,84
male,group D,bachelor's degree,standard,completed,3.3,3,67,83,82
male,group D,some high school,standard,none,8.9,3,66,80,67
female,group D,bachelor's degree,standard,none,5.4,3,73,88,80
male,group E,high school,free/reduced,none,9.6,3,62,76,70
male,group A,some college,free/reduced,none,5.3,4,60,55,70
female,group B,some college,free/reduced,none,2.2,7,46,52,59
female,group A,bachelor's degree,free/reduced,none,2.0,4,45,55,65
female,group D,some high school,standard,none,1.8,6,70,57,53
male,group E,high school,standard,completed,6.7,5,65,79,88
male,group B,some college,standard,none,9.1,1,78,72,71
female,group E,associate's degree,standard,none,13.6,2,99,100,83
male,group A,some college,standard,completed,7.4,6,74,71,85
female,group E,some high school,standard,none,9.0,3,69,91,93
male,group C,high school,standard,completed,3.2,6,73,83,68
male,group B,high school,standard,none,2.2,0,77,76,73
male,group C,associate's degree,standard,completed,7.5,5,71,79,94
female,group B,high school,standard,none,5.8,7,67,74,77
female,group C,high school,free/reduced,completed,4.8,0,58,66,74
female,group C,bachelor's degree,free/reduced,completed,5.7,8,71,86,67
female,group D,some high school,free/reduced,none,5.4,0,68,69,49
male,group C,master's degree,standard,none,9.7,0,78,85,85
male,group C,some college,standard,none,9.7,0,77,73,94
male,group D,associate's degree,free/reduced,none,6.2,1,57,50,62
male,group D,high school,standard,none,7.4,3,74,66,81
male,group B,some high school,standard,none,6.1,3,80,81,62
male,group C,associate's degree,standard,none,3.4,2,58,68,71
male,group B,associate's degree,standard,none,7.1,5,68,75,81
male,group B,associate's degree,standard,none,1.9,5,69,72,59
female,group D,some high school,standard,none,8.4,2,89,95,79
female,group B,associate's degree,free/reduced,none,2.2,6,46,75,58
female,group C,associate's degree,standard,none,5.3,0,75,70,84
male,group D,some college,standard,none,2.7,0,71,52,71
male,group B,associate's degree,free/reduced,none,6.2,1,70,94,72
female,group C,bachelor's degree,standard,none,4.4,1,51,98,91
male,group B,some college,standard,none,1.7,0,71,70,73
male,group E,some high school,free/reduced,none,5.8,0,81,57,61
female,group C,high school,standard,completed,3.2,1,78,87,77
female,group D,some high school,standard,none,7.6,5,62,74,73
male,group C,high school,standard,completed,4.5,6,68,74,75
male,group A,high school,standard,completed,5.7,0,98,90,100
male,group D,some high school,standard,completed,2.5,2,80,76,75
male,group E,high school,free/reduced,completed,3.1,5,73,58,49
male,group D,some high school,standard,none,3.4,3,67,63,60
male,group D,associate's degree,standard,none,7.5,0,72,87,63
male,group E,bachelor's degree,standard,completed,12.3,2,94,100,94
male,group B,some high school,standard,none,2.8,0,64,69,48
female,group B,bachelor's degree,standard,none,8.6,0,90,95,78
female,group D,some college,standard,completed,1.2,2,88,72,61
female,group C,high school,standard,completed,2.2,4,83,76,77
male,group D,some high school,standard,completed,2.5,6,54,39,69
male,group E,some college,standard,completed,2.0,0,77,72,78
male,group C,associate's degree,standard,completed,1.7,5,79,80,72
female,group B,some college,free/reduced,none,5.7,6,72,65,55
female,group D,some high school,standard,completed,3.9,4,68,72,80
female,group B,some high school,standard,none,5.6,0,100,65,91
female,group D,high school,standard,none,6.8,0,64,88,81
male,group C,high school,free/reduced,completed,5.3,2,62,80,70
female,group D,high school,standard,none,6.7,0,79,86,64
female,group B,high school,free/reduced,none,4.3,1,87,52,59
male,group D,associate's degree,free/reduced,none,2.2,6,50,59,64
female,group C,bachelor's degree,free/reduced,completed,8.5,0,85,87,98
female,group C,high school,standard,none,3.1,0,80,69,73
male,group B,bachelor's degree,standard,completed,2.6,0,78,75,87
female,group D,high school,free/reduced,none,4.0,8,56,59,67
male,group E,high school,free/reduced,completed,2.6,0,75,79,75
male,group B,high school,free/reduced,completed,3.5,3,71,53,64
male,group B,some college,standard,none,5.5,9,77,84,69
female,group A,master's degree,standard,none,5.5,2,91,85,72
male,group D,some college,standard,none,2.6,0,71,69,69
female,group D,high school,free/reduced,completed,3.3,0,76,83,77
female,group C,some college,standard,completed,8.5,4,89,75,100
female,group B,some high school,standard,completed,6.0,3,84,75,68
male,group C,bachelor's degree,free/reduced,none,15.6,6,87,88,92
female,group C,some college,standard,completed,9.1,0,91,100,100
female,group C,high school,free/reduced,completed,8.9,2,94,84,90
male,group E,some college,standard,completed,1.9,1,89,80,82
female,group B,some college,standard,completed,7.1,0,72,83,93
female,group D,some high school,standard,none,4.3,1,69,76,82
female,group C,some college,free/reduced,none,3.2,3,57,81,55
female,group C,high school,standard,completed,5.0,0,78,92,69
female,group D,some college,standard,completed,7.9,1,92,89,88
female,group D,associate's degree,free/reduced,none,6.1,4,77,78,51
male,group E,associate's degree,standard,none,2.6,0,68,76,81
female,group B,some college,standard,none,7.0,3,57,83,88
female,group B,some college,standard,none,3.1,3,59,80,65
male,group D,some high school,standard,none,5.1,7,73,76,62
female,group C,associate's degree,standard,completed,3.7,0,54,82,82
male,group B,high school,standard,completed,3.9,2,87,83,77
female,group A,high school,standard,none,7.1,1,82,75,79
female,group A,high school,standard,none,2.4,7,75,56,68
female,group E,some high school,free/reduced,none,14.4,0,83,85,85
female,group B,some college,standard,none,1.5,2,45,67,75
female,group C,some high school,standard,completed,3.1,6,75,58,76
female,group B,associate's degree,standard,completed,5.6,3,96,93,78
female,group C,high school,standard,none,6.4,3,83,50,86
female,group A,some high school,standard,completed,4.2,0,71,100,67
female,group C,some college,standard,completed,4.3,0,82,97,81
female,group A,some high school,free/reduced,completed,5.7,3,68,73,83
female,group D,high school,standard,none,3.9,0,63,73,65
female,group B,some college,free/reduced,completed,10.3,4,95,90,89
male,group C,some high school,free/reduced,none,7.4,0,57,66,75
female,group E,associate's degree,standard,none,7.6,4,69,82,71
male,group D,some high school,standard,none,2.5,3,51,63,62
male,group C,high school,standard,none,4.3,2,53,69,68
female,group C,associate's degree,free/reduced,none,3.7,2,68,71,63
male,group C,high school,standard,none,2.5,0,78,56,88
male,group D,some high school,standard,none,5.6,4,66,70,62
female,group E,high school,standard,completed,3.2,0,62,81,88
female,group D,high school,free/reduced,completed,6.6,4,84,79,74
male,group C,bachelor's degree,free/reduced,none,2.4,4,79,62,53
male,group D,high school,standard,completed,12.6,5,84,100,92
female,group C,associate's degree,free/reduced,completed,2.6,3,67,71,79
female,group A,bachelor's degree,standard,completed,5.1,3,88,87,93
female,group C,high school,standard,none,7.2,1,93,90,92
female,group E,bachelor's degree,free/reduced,completed,3.2,6,67,73,100
male,group B,high school,standard,completed,7.5,6,66,83,82
female,group D,master's degree,standard,completed,2.1,0,88,82,76
female,group B,some high school,standard,none,10.7,4,88,93,85
male,group C,some college,free/reduced,none,4.5,3,64,64,63
female,group B,high school,free/reduced,completed,3.1,0,67,86,82
female,group C,high school,standard,none,3.7,0,80,72,60
male,group D,some college,free/reduced,none,7.3,0,77,66,94
male,group C,some college,standard,none,3.2,4,58,74,74
female,group D,some high school,standard,completed,2.9,0,76,74,61
male,group D,some high school,standard,completed,3.9,0,62,83,70
female,group E,some college,standard,none,2.2,0,76,46,77
female,group B,some college,standard,completed,13.4,4,93,98,100
male,group C,master's degree,free/reduced,none,3.2,3,62,64,56
female,group B,associate's degree,standard,completed,7.4,5,84,77,92
female,group E,bachelor's degree,standard,completed,5.1,6,81,78,64
female,group E,some college,standard,completed,2.5,7,81,69,72
female,group C,high school,standard,completed,4.5,0,86,81,91
female,group D,some high school,free/reduced,none,7.2,0,69,61,67
female,group C,associate's degree,standard,completed,4.0,0,90,87,69
female,group D,some college,standard,none,9.2,0,87,97,85
female,group A,some high school,free/reduced,completed,8.3,3,74,83,74
male,group D,high school,standard,completed,7.8,7,78,88,86
male,group B,bachelor's degree,standard,completed,3.4,4,76,89,70
male,group D,some college,standard,none,2.3,5,68,76,57
male,group D,high school,standard,completed,3.1,2,70,92,56
female,group D,high school,free/reduced,none,5.0,0,64,66,71
female,group A,high school,free/reduced,none,6.2,0,90,66,70
male,group C,high school,standard,completed,1.2,10,73,72,54
male,group B,high school,free/reduced,none,4.5,2,56,72,66
male,group C,some high school,standard,completed,4.9,0,83,86,88
female,group A,associate's degree,standard,none,3.8,7,69,87,67
female,group E,high school,standard,none,9.7,3,84,82,83
female,group C,associate's degree,standard,completed,5.8,5,83,87,85
female,group C,bachelor's degree,standard,none,9.8,2,97,79,76
male,group C,high school,standard,none,3.9,4,69,87,85
male,group C,some college,free/reduced,completed,7.9,0,81,80,78
female,group D,high school,standard,none,12.0,3,95,84,91
male,group C,bachelor's degree,standard,none,9.8,0,88,84,93
male,group E,high school,standard,none,2.3,6,62,57,61
female,group C,some college,standard,completed,3.8,3,81,73,84
female,group E,some college,standard,completed,3.6,7,73,71,77
female,group D,high school,standard,completed,6.0,6,78,68,66
female,group B,some high school,free/reduced,none,6.8,3,62,63,66
female,group E,some college,standard,completed,2.7,3,68,95,71
female,group B,associate's degree,standard,completed,4.7,2,72,90,79
female,group D,high school,standard,completed,1.3,4,57,81,60
female,group C,some college,standard,none,10.6,5,73,94,93
male,group E,high school,standard,completed,3.3,0,74,94,91
female,group E,some college,free/reduced,completed,4.6,5,74,59,83
male,group D,high school,standard,none,3.7,1,65,59,80
female,group D,bachelor's degree,standard,none,8.9,0,62,80,83
male,group C,high school,standard,completed,0.8,0,86,68,66
female,group A,high school,standard,none,4.4,3,80,69,63
female,group C,some high school,standard,completed,4.2,0,82,76,85
male,group B,some high school,free/reduced,completed,3.4,4,85,70,69
male,group D,some college,standard,none,12.6,3,76,88,86
male,group C,high school,free/reduced,none,2.6,7,75,51,68
female,group E,associate's degree,standard,none,7.1,0,71,63,85
female,group D,some high school,free/reduced,completed,5.5,4,75,65,66
male,group D,high school,standard,none,9.6,7,62,72,69
male,group B,high school,free/reduced,completed,3.0,4,67,67,74
male,group E,some high school,standard,none,2.9,6,64,52,71
male,group E,some high school,free/reduced,none,8.7,5,66,65,74
female,group C,high school,standard,none,5.8,11,73,58,84
male,group D,high school,standard,none,1.8,3,63,63,78
female,group D,high school,standard,completed,3.2,4,69,67,79
female,group B,some college,free/reduced,none,5.7,2,64,64,63
female,group C,some college,standard,none,7.4,3,85,67,66
female,group C,some high school,free/reduced,none,3.0,0,56,63,60
female,group B,high school,standard,none,0.8,0,74,59,72
female,group C,master's degree,standard,none,6.1,5,89,87,95
male,group A,some college,standard,completed,2.2,2,57,79,78
female,group A,some college,free/reduced,none,1.3,3,71,61,71
male,group B,high school,free/reduced,none,0.8,6,73,48,52
female,group E,associate's degree,free/reduced,none,7.3,0,78,81,82
female,group C,associate's degree,standard,completed,4.8,4,86,89,89
male,group E,some college,standard,none,3.9,0,81,74,54
female,group C,master's degree,free/reduced,none,10.3,2,80,99,80
female,group C,some high school,standard,completed,6.6,4,81,86,89
female,group C,some high school,free/reduced,none,11.8,4,64,87,80
female,group C,associate's degree,free/reduced,none,1.9,6,61,63,50
male,group B,associate's degree,free/reduced,none,4.4,3,70,73,45
female,group D,some high school,free/reduced,completed,1.7,3,71,60,63
male,group B,high school,standard,none,3.9,0,79,67,69
female,group D,some high school,standard,completed,3.9,0,69,82,70
male,group D,high school,free/reduced,completed,6.5,5,68,78,75
male,group B,associate's degree,standard,none,4.6,6,87,75,74
male,group A,some college,free/reduced,none,6.5,5,65,78,74
female,group D,high school,free/reduced,none,6.8,1,73,60,51
female,group C,high school,standard,completed,16.3,5,99,93,89
female,group A,some high school,free/reduced,none,3.7,4,53,65,59
male,group E,high school,standard,none,2.5,0,82,62,72
male,group A,some college,standard,none,5.2,0,68,100,78
male,group D,master's degree,standard,completed,2.8,0,69,87,86
female,group E,bachelor's degree,standard,none,10.9,4,82,87,84
male,group B,some high school,standard,completed,3.8,0,55,72,73
male,group B,bachelor's degree,standard,none,3.2,0,65,70,66
female,group B,associate's degree,free/reduced,none,3.4,0,58,70,76
female,group C,associate's degree,free/reduced,none,6.9,2,79,76,66
male,group B,high school,standard,none,4.1,2,61,65,76
male,group D,high school,standard,none,3.0,4,73,63,67
male,group A,high school,free/reduced,none,12.2,6,90,90,76
female,group C,some high school,standard,completed,2.7,5,79,85,66
male,group E,high school,standard,completed,4.6,5,72,78,63
female,group D,high school,standard,completed,6.6,0,86,74,79
female,group D,high school,standard,none,1.7,0,51,73,64
female,group C,associate's degree,standard,none,6.0,3,74,92,55
male,group D,high school,free/reduced,none,2.4,3,50,73,58
male,group C,some high school,standard,completed,7.3,5,85,87,88
male,group C,bachelor's degree,standard,completed,2.5,4,100,90,81
female,group B,bachelor's degree,standard,none,6.8,4,83,80,74
male,group E,associate's degree,standard,none,8.7,0,61,89,83
female,group C,master's degree,free/reduced,none,7.5,0,75,75,75
male,group B,some college,free/reduced,none,5.2,0,69,73,70
female,group C,master's degree,free/reduced,none,3.9,0,73,86,87
female,group C,some high school,standard,none,3.2,7,55,59,72
female,group D,high school,free/reduced,completed,10.8,0,90,82,93
female,group D,high school,free/reduced,none,2.9,0,51,67,60
male,group D,high school,free/reduced,none,2.4,3,49,58,66
female,group A,some high school,standard,completed,6.7,3,87,88,66
female,group C,some college,standard,none,2.8,0,60,68,69
male,group C,associate's degree,standard,none,2.5,0,74,87,75
female,group A,some college,free/reduced,none,1.9,2,48,52,69
male,group B,some high school,standard,none,3.4,1,83,79,72
male,group D,associate's degree,standard,none,4.3,4,62,64,73
male,group B,some college,free/reduced,completed,5.2,2,72,60,74
female,group C,high school,free/reduced,none,7.9,4,74,75,77
male,group B,some college,free/reduced,none,6.1,7,59,64,57
male,group A,high school,standard,completed,4.0,4,75,66,67
female,group B,high school,free/reduced,none,4.0,5,68,49,64
female,group E,bachelor's degree,standard,completed,6.1,0,97,90,90
male,group D,high school,standard,completed,9.6,4,93,96,70
male,group E,high school,standard,none,4.8,3,67,76,73
male,group C,bachelor's degree,standard,completed,3.4,0,79,83,88
male,group B,some college,standard,none,2.5,4,88,71,65
male,group C,some high school,free/reduced,completed,1.9,0,76,68,89
female,group C,some high school,standard,none,6.7,8,59,58,63
female,group D,some high school,free/reduced,completed,6.3,4,75,63,72
female,group B,some college,standard,completed,6.3,3,79,83,80
male,group C,high school,standard,none,4.1,1,67,69,69
female,group B,some high school,standard,none,10.4,0,70,92,80
male,group C,bachelor's degree,standard,completed,3.4,8,70,83,62
male,group D,some college,standard,completed,7.9,5,100,90,78
male,group C,high school,standard,none,4.4,3,73,67,67
female,group C,some college,standard,completed,3.1,5,50,64,87
male,group C,some college,standard,none,6.4,4,84,78,93
female,group C,some high school,standard,none,5.7,3,81,77,84
male,group D,high school,free/reduced,none,5.6,0,64,48,61
female,group E,associate's degree,standard,none,4.7,5,79,66,66
female,group E,high school,free/reduced,completed,4.4,3,64,68,72
male,group D,some college,free/reduced,none,18.8,4,87,95,100
female,group C,high school,free/reduced,completed,9.1,0,99,79,84
female,group D,some high school,free/reduced,none,6.9,0,68,72,59
male,group C,some high school,standard,none,4.8,5,46,65,62
male,group B,high school,free/reduced,none,8.2,4,69,70,77
male,group D,high school,free/reduced,none,6.1,1,67,63,75
male,group A,some high school,standard,none,4.6,7,75,59,62
male,group E,bachelor's degree,standard,none,3.7,2,72,64,79
female,group C,master's degree,standard,none,4.3,7,68,77,52
female,group D,associate's degree,free/reduced,none,0.7,0,73,69,64
female,group D,bachelor's degree,free/reduced,none,5.1,6,69,63,77
male,group E,high school,standard,none,3.3,0,60,83,61
male,group D,master's degree,standard,completed,11.7,6,100,93,87
female,group D,high school,standard,completed,4.5,6,77,91,59
female,group A,bachelor's degree,standard,none,2.2,2,70,67,86
male,group C,master's degree,free/reduced,none,4.3,5,68,50,61
female,group B,some college,standard,none,2.4,5,55,71,68
male,group D,master's degree,standard,completed,6.0,7,76,86,88
female,group C,some college,standard,none,5.3,0,75,77,90
male,group D,high school,free/reduced,none,8.0,2,68,67,70
female,group A,high school,standard,none,2.8,0,81,70,65
male,group A,some college,free/reduced,none,4.6,7,63,58,64
male,group D,some high school,standard,none,2.0,0,72,63,76
male,group A,some college,standard,completed,6.8,0,84,94,84
male,group A,master's degree,standard,none,6.1,4,87,80,68
male,group A,high school,standard,none,6.0,6,72,76,55
male,group E,associate's degree,standard,none,4.5,2,72,71,61
female,group D,bachelor's degree,free/reduced,none,5.7,0,74,73,83
male,group C,bachelor's degree,free/reduced,completed,11.7,3,80,81,88
male,group C,master's degree,free/reduced,none,3.8,0,75,68,65
female,group C,some college,standard,completed,4.9,4,79,51,74
male,group D,master's degree,free/reduced,none,2.3,4,58,60,65
male,group D,associate's degree,standard,none,2.7,7,75,65,63
male,group B,some high school,standard,completed,4.8,1,64,83,75
female,group B,high school,standard,none,8.7,2,75,78,92
female,group B,some college,standard,completed,3.8,5,86,81,91
male,group D,high school,free/reduced,none,3.9,2,65,45,49
male,group D,some college,standard,completed,3.5,5,73,75,77
female,group B,some college,standard,none,3.3,4,70,55,62
male,group A,some high school,standard,none,5.3,0,72,61,69
male,group A,some college,standard,completed,1.8,3,57,72,76
female,group E,associate's degree,standard,completed,9.7,3,87,100,90
male,group C,high school,standard,completed,3.0,1,90,80,77
female,group D,some high school,free/reduced,completed,6.9,0,72,80,85
female,group D,some high school,free/reduced,completed,2.1,0,66,71,72
female,group C,high school,standard,none,6.7,6,66,67,67
male,group B,bachelor's degree,standard,none,6.7,2,76,74,73
female,group B,high school,standard,none,5.6,0,68,80,62
female,group D,some college,free/reduced,none,2.5,4,66,51,55
female,group D,high school,standard,none,5.2,4,72,78,89
male,group D,high school,standard,none,2.2,4,70,61,56
male,group C,bachelor's degree,standard,none,3.9,0,63,83,63
female,group A,associate's degree,standard,completed,8.3,0,87,100,95
female,group E,some high school,standard,none,7.2,3,71,60,74
male,group D,high school,free/reduced,none,4.5,0,70,62,64
female,group C,some high school,standard,none,2.5,0,59,61,80
female,group E,high school,standard,completed,6.6,8,87,63,84
female,group D,some college,free/reduced,completed,4.5,3,86,67,70
female,group C,some high school,free/reduced,completed,1.1,0,57,91,64
female,group D,high school,standard,none,7.2,0,72,85,74
female,group D,high school,standard,none,4.4,0,67,91,81
female,group D,bachelor's degree,standard,none,9.2,0,100,95,84
male,group B,master's degree,free/reduced,none,2.3,5,58,58,48
female,group C,some high school,standard,none,0.7,3,77,59,61
male,group E,associate's degree,free/reduced,none,5.3,2,55,75,55
male,group B,high school,free/reduced,none,5.3,5,53,69,83
female,group C,high school,standard,completed,1.6,6,63,66,62
male,group C,associate's degree,standard,completed,2.5,0,69,65,77
female,group C,bachelor's degree,standard,none,20.0,6,100,100,100
male,group D,bachelor's degree,standard,none,3.7,6,61,69,67
female,group E,some college,standard,none,6.9,5,66,73,73
female,group B,high school,free/reduced,none,3.0,0,76,67,69
female,group B,associate's degree,free/reduced,completed,1.3,3,81,69,84
male,group B,high school,standard,none,4.0,4,75,69,74
female,group E,some college,free/reduced,completed,3.8,3,78,86,87
male,group D,high school,standard,none,3.5,0,69,69,60
female,group C,some college,standard,completed,4.2,1,75,72,84
male,group D,high school,standard,none,5.3,6,57,67,69
female,group E,high school,standard,completed,4.1,5,79,73,79
male,group D,bachelor's degree,free/reduced,none,2.1,6,48,75,73
female,group E,some high school,free/reduced,none,6.0,0,59,81,68
female,group B,some college,standard,none,1.4,0,79,70,65
female,group D,high school,standard,none,1.3,5,81,52,67
female,group C,some high school,standard,completed,7.0,3,85,72,66
male,group D,some high school,standard,completed,6.1,0,91,82,79
female,group D,some high school,free/reduced,completed,4.3,2,69,77,71
male,group D,bachelor's degree,free/reduced,none,1.9,1,50,62,56
female,group D,high school,standard,completed,2.9,0,83,75,87
male,group B,bachelor's degree,standard,none,3.8,3,76,67,62
female,group C,some college,standard,none,1.7,7,63,64,62
female,group E,high school,standard,none,2.9,8,60,43,66
male,group E,some college,standard,none,6.6,7,80,62,83
female,group A,some college,standard,none,10.6,6,71,77,82
female,group B,associate's degree,free/reduced,none,3.5,0,60,81,77
male,group B,high school,free/reduced,none,7.1,3,58,62,75
male,group D,high school,standard,completed,1.4,0,73,75,74
female,group D,bachelor's degree,standard,none,6.7,6,65,80,67
female,group B,bachelor's degree,standard,none,2.8,0,66,87,61
male,group C,bachelor's degree,standard,none,5.4,7,64,84,73
female,group D,high school,free/reduced,none,3.9,2,62,66,60
female,group D,associate's degree,standard,none,9.9,7,65,78,89
female,group C,high school,standard,completed,2.7,0,77,72,84
male,group C,high school,standard,none,6.5,3,84,71,71
male,group C,high school,free/reduced,completed,3.8,3,71,67,60
female,group C,some college,standard,none,4.1,2,86,78,77
female,group C,high school,standard,completed,4.0,0,92,85,71
female,group D,high school,standard,none,2.7,1,75,75,62
male,group E,bachelor's degree,free/reduced,none,4.4,3,68,80,59
female,group D,high school,free/reduced,completed,4.3,0,75,93,74
female,group D,some high school,standard,none,5.2,7,74,69,78
male,group B,some high school,free/reduced,none,4.7,2,58,74,63
female,group C,bachelor's degree,free/reduced,completed,7.2,0,66,84,82
male,group A,some college,free/reduced,none,7.8,3,76,83,58
female,group B,high school,standard,completed,2.4,6,60,83,77
female,group D,associate's degree,standard,none,7.5,9,64,85,68
female,group E,associate's degree,standard,completed,2.2,2,77,80,79
male,group B,high school,free/reduced,none,6.4,2,66,63,65
male,group C,some college,standard,none,6.5,4,58,62,81
male,group D,associate's degree,free/reduced,none,1.4,4,60,60,58
female,group B,some college,standard,none,4.7,0,84,90,74
male,group C,some high school,free/reduced,none,3.4,6,45,56,62
female,group D,bachelor's degree,free/reduced,none,2.8,4,78,74,85
female,group D,some college,standard,none,10.1,0,69,94,94
male,group B,high school,free/reduced,none,3.0,0,83,62,62
female,group C,high school,standard,none,2.8,3,62,80,67
female,group D,some high school,free/reduced,completed,4.7,3,73,47,68
female,group C,some high school,standard,none,6.8,3,54,64,65
female,group A,associate's degree,standard,none,4.1,5,70,64,66
female,group D,some high school,free/reduced,none,9.0,0,77,69,69
male,group A,high school,standard,none,6.2,6,68,74,75
female,group D,some college,free/reduced,completed,1.2,3,62,72,59
male,group B,some high school,standard,none,3.3,3,54,69,77
male,group E,master's degree,standard,completed,3.2,0,93,89,89
female,group C,high school,standard,none,6.0,4,72,65,73
female,group C,high school,standard,completed,0.9,0,88,64,74
female,group B,high school,standard,none,20.0,4,95,100,96
male,group C,high school,standard,completed,6.2,1,76,77,84
female,group E,some high school,standard,none,4.9,1,79,58,81
male,group E,associate's degree,standard,none,9.1,0,66,93,77
female,group C,master's degree,free/reduced,none,18.3,4,85,100,85
male,group C,high school,free/reduced,none,7.6,8,76,81,72
female,group D,some college,standard,completed,7.9,3,74,90,90
female,group E,associate's degree,free/reduced,none,4.8,4,49,75,58
male,group C,bachelor's degree,standard,none,4.1,3,90,86,66
male,group C,high school,free/reduced,completed,3.4,4,54,64,61
female,group C,high school,free/reduced,none,2.7,2,64,74,56
male,group D,high school,free/reduced,completed,3.0,4,67,71,65
female,group A,some college,standard,completed,2.0,0,48,87,75
male,group D,associate's degree,free/reduced,none,4.3,7,59,66,57
male,group C,high school,standard,completed,1.6,3,74,84,64
female,group D,high school,free/reduced,none,5.0,0,72,72,67
female,group B,bachelor's degree,standard,none,4.4,3,83,63,76
female,group C,associate's degree,standard,none,4.9,0,72,91,74
male,group C,master's degree,free/reduced,none,3.3,6,71,57,75
male,group D,associate's degree,free/reduced,completed,20.0,7,95,100,100
female,group A,high school,standard,completed,10.1,0,77,92,78
female,group C,some college,free/reduced,none,2.1,4,48,73,66
male,group C,some college,standard,none,5.2,0,58,85,79
male,group C,some high school,standard,completed,3.1,8,77,73,64
male,group D,some college,standard,none,2.4,0,52,74,55
female,group D,some college,standard,none,2.0,0,71,74,70
female,group D,some high school,standard,none,5.8,3,68,55,72
female,group B,associate's degree,standard,completed,3.0,3,77,81,68
male,group D,some college,standard,none,8.0,3,90,68,64
female,group C,bachelor's degree,standard,completed,8.1,3,85,93,90
male,group A,some high school,standard,completed,10.2,0,94,80,87
female,group A,high school,free/reduced,none,2.7,0,64,55,61
male,group C,some college,free/reduced,none,6.0,9,61,79,62
male,group D,high school,standard,completed,6.6,0,100,94,73
male,group D,some college,standard,none,3.4,1,54,70,66
female,group D,associate's degree,standard,completed,2.8,1,92,83,85
female,group C,some high school,standard,completed,11.8,3,97,90,88
female,group C,some college,free/reduced,none,5.1,2,63,75,54
male,group B,some college,standard,completed,6.6,3,98,77,78
male,group C,high school,standard,completed,2.7,1,55,85,65
male,group C,bachelor's degree,standard,completed,2.2,0,73,78,81
male,group A,associate's degree,standard,none,3.2,0,58,69,74
male,group B,some college,free/reduced,none,4.2,10,62,60,44
female,group C,some college,free/reduced,none,2.4,4,50,58,69
male,group D,high school,standard,completed,4.5,3,80,80,67
female,group E,bachelor's degree,standard,none,1.6,5,65,64,82
female,group E,some college,free/reduced,completed,2.3,0,67,78,73
female,group D,associate's degree,free/reduced,none,6.7,3,76,85,62
female,group C,bachelor's degree,standard,none,6.4,4,74,73,68
female,group D,high school,standard,none,3.5,0,59,71,74
male,group D,associate's degree,standard,completed,2.4,1,100,82,74
female,group B,high school,standard,none,2.4,0,63,66,68
male,group C,high school,standard,none,3.6,6,41,70,79
female,group D,high school,standard,none,6.6,7,62,78,65
female,group C,master's degree,standard,completed,7.8,2,78,100,93
female,group C,bachelor's degree,standard,none,3.3,5,78,67,84
female,group C,some college,free/reduced,none,2.2,5,63,54,63
male,group B,associate's degree,standard,completed,5.3,7,81,76,63
female,group C,some college,standard,completed,2.7,5,70,67,80
male,group C,bachelor's degree,standard,completed,3.3,4,74,84,67
female,group A,high school,standard,none,9.9,7,74,69,91
male,group A,high school,free/reduced,none,7.4,0,70,94,64
male,group D,some high school,standard,completed,4.9,3,83,89,100
male,group B,associate's degree,standard,none,2.1,0,72,70,82
female,group C,associate's degree,free/reduced,completed,5.1,0,84,89,73
female,group C,high school,standard,none,8.5,1,84,66,80
female,group E,some high school,free/reduced,none,3.6,5,68,84,67
male,group B,associate's degree,standard,none,10.1,0,87,81,92
female,group C,some high school,standard,none,9.7,4,81,79,83
female,group E,some college,standard,none,12.2,6,96,69,96
male,group D,master's degree,standard,none,5.4,3,69,82,75
female,group B,high school,free/reduced,completed,6.4,0,70,71,76
male,group D,high school,free/reduced,none,10.5,8,59,73,68
female,group C,some college,standard,completed,5.9,6,81,77,88
female,group C,associate's degree,standard,completed,3.3,2,60,71,83
male,group B,some college,free/reduced,none,3.4,0,69,59,68
female,group A,master's degree,free/reduced,none,5.2,0,73,78,82
male,group D,some high school,standard,completed,2.1,1,82,61,53
female,group C,some college,standard,none,4.1,2,64,66,75
female,group C,some college,standard,completed,8.7,0,88,98,93
male,group D,bachelor's degree,free/reduced,completed,1.2,0,82,96,87
male,group D,some high school,standard,completed,11.3,2,100,95,76
male,group B,associate's degree,standard,none,8.8,0,75,75,97
female,group D,some college,free/reduced,none,3.4,7,63,59,62
male,group B,high school,standard,completed,6.2,0,84,84,87
female,group D,some high school,standard,none,4.5,0,74,69,87
female,group D,bachelor's degree,standard,completed,9.4,3,89,100,98
male,group E,some high school,standard,none,8.1,6,84,75,75
female,group A,high school,standard,none,1.9,5,44,73,66
male,group A,high school,standard,completed,6.4,4,74,78,75
female,group C,bachelor's degree,standard,none,4.0,2,78,88,75
